TYPE;Geom;Geo Local Area;geo_point_2d
Semi Actuated;"{""coordinates"": [-123.0456867392069, 49.22473607202563], ""type"": ""Point""}";Killarney;49.22473607202563, -123.0456867392069
Pedestrian Actuated Signal;"{""coordinates"": [-123.05201517087184, 49.239078990680106], ""type"": ""Point""}";Renfrew-Collingwood;49.239078990680106, -123.05201517087184
Pedestrian Actuated Signal;"{""coordinates"": [-123.12898600588528, 49.263445023622744], ""type"": ""Point""}";Fairview;49.263445023622744, -123.12898600588528
Pedestrian Actuated Signal;"{""coordinates"": [-123.06567372128897, 49.227416156774204], ""type"": ""Point""}";Victoria-Fraserview;49.227416156774204, -123.06567372128897
Pedestrian Actuated Signal;"{""coordinates"": [-123.09306536969244, 49.2577761006465], ""type"": ""Point""}";Mount Pleasant;49.2577761006465, -123.09306536969244
Pedestrian Actuated Signal;"{""coordinates"": [-123.02360208883137, 49.26238623445381], ""type"": ""Point""}";Renfrew-Collingwood;49.26238623445381, -123.02360208883137
Fixed Time;"{""coordinates"": [-123.10941009985439, 49.27027750981455], ""type"": ""Point""}";Mount Pleasant;49.27027750981455, -123.10941009985439
Fixed Time;"{""coordinates"": [-123.10069723746277, 49.26916835413859], ""type"": ""Point""}";Mount Pleasant;49.26916835413859, -123.10069723746277
Semi Actuated;"{""coordinates"": [-123.12758885410496, 49.28013378452877], ""type"": ""Point""}";West End;49.28013378452877, -123.12758885410496
Fully Actuated;"{""coordinates"": [-123.0581279855167, 49.2418856321286], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2418856321286, -123.0581279855167
Fixed Time;"{""coordinates"": [-123.03587592557989, 49.234152973526896], ""type"": ""Point""}";Renfrew-Collingwood;49.234152973526896, -123.03587592557989
Semi Actuated;"{""coordinates"": [-123.1404876603349, 49.20986021161141], ""type"": ""Point""}";Marpole;49.20986021161141, -123.1404876603349
Fully Actuated;"{""coordinates"": [-123.14520132027064, 49.272413671585646], ""type"": ""Point""}";Kitsilano;49.272413671585646, -123.14520132027064
Fixed Time;"{""coordinates"": [-123.16831178051243, 49.26836751845746], ""type"": ""Point""}";Kitsilano;49.26836751845746, -123.16831178051243
Semi Actuated;"{""coordinates"": [-123.02716338360668, 49.206397498474], ""type"": ""Point""}";Killarney;49.206397498474, -123.02716338360668
Fixed Time;"{""coordinates"": [-123.11542017325343, 49.28298239109879], ""type"": ""Point""}";Downtown;49.28298239109879, -123.11542017325343
Semi Actuated;"{""coordinates"": [-123.04408341151978, 49.27745453468435], ""type"": ""Point""}";Hastings-Sunrise;49.27745453468435, -123.04408341151978
Pedestrian Actuated Signal;"{""coordinates"": [-123.08920233699898, 49.25790651098439], ""type"": ""Point""}";Mount Pleasant;49.25790651098439, -123.08920233699898
Semi Actuated;"{""coordinates"": [-123.09079903658748, 49.266771861072684], ""type"": ""Point""}";Strathcona;49.266771861072684, -123.09079903658748
Fixed Time;"{""coordinates"": [-123.13438712967454, 49.27827284546379], ""type"": ""Point""}";West End;49.27827284546379, -123.13438712967454
Fixed Time;"{""coordinates"": [-123.11549502735936, 49.27654660603291], ""type"": ""Point""}";Downtown;49.27654660603291, -123.11549502735936
Fully Actuated;"{""coordinates"": [-123.06049263112199, 49.24296596953694], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24296596953694, -123.06049263112199
Semi Actuated;"{""coordinates"": [-123.13042063366626, 49.27568794626043], ""type"": ""Point""}";Downtown;49.27568794626043, -123.13042063366626
Semi Actuated;"{""coordinates"": [-123.09781075574297, 49.261063654850616], ""type"": ""Point""}";Mount Pleasant;49.261063654850616, -123.09781075574297
FH;"{""coordinates"": [-123.13948851021163, 49.23712628492917], ""type"": ""Point""}";Shaughnessy;49.23712628492917, -123.13948851021163
