block_id,street_name,block_range,total_lots,total_unique_folio,lots_single_family,pct_single_family,lots_two_family,pct_two_family,lots_multifamily,pct_multifamily,lots_mixed_use,pct_mixed_use,lots_commercial_only,pct_commercial_only,lots_shopping_centre,pct_shopping_centre,lots_industrial,pct_industrial,lots_historic_area,pct_historic_area,lots_downtown,pct_downtown,lots_cd_unknown,pct_cd_unknown,lots_other,pct_other,total_land_value,total_improvement_value,median_year_built
1ST AVE E 0,1ST AVE E,0,33,33,2,6.1,0,0.0,17,51.5,5,15.2,0,0.0,0,0.0,6,18.2,0,0.0,0,0.0,8,24.2,0,0.0,625694204.0,196464800.0,2016.0
1ST AVE E 100,1ST AVE E,100,79,81,0,0.0,3,3.8,29,36.7,10,12.7,0,0.0,0,0.0,7,8.9,0,0.0,0,0.0,33,41.8,0,0.0,269216391.0,124616007.0,2014.0
1ST AVE E 200,1ST AVE E,200,145,145,0,0.0,3,2.1,28,19.3,30,20.7,0,0.0,0,0.0,51,35.2,0,0.0,0,0.0,37,25.5,0,0.0,1318270081.0,177335100.0,2014.0
1ST AVE E 300,1ST AVE E,300,159,159,0,0.0,0,0.0,20,12.6,26,16.4,0,0.0,0,0.0,59,37.1,0,0.0,0,0.0,54,34.0,0,0.0,1518838978.0,370326600.0,2016.0
1ST AVE E 400,1ST AVE E,400,43,43,0,0.0,0,0.0,0,0.0,8,18.6,0,0.0,0,0.0,34,79.1,0,0.0,0,0.0,1,2.3,0,0.0,1027733002.0,141798000.0,2016.0
1ST AVE E 500,1ST AVE E,500,82,82,0,0.0,0,0.0,0,0.0,8,9.8,0,0.0,0,0.0,22,26.8,0,0.0,0,0.0,52,63.4,0,0.0,647317051.0,1051863000.0,2016.0
1ST AVE E 600,1ST AVE E,600,63,63,0,0.0,0,0.0,0,0.0,6,9.5,0,0.0,0,0.0,22,34.9,0,0.0,0,0.0,35,55.6,0,0.0,196896000.0,121040000.0,2016.0
1ST AVE E 700,1ST AVE E,700,61,61,0,0.0,0,0.0,0,0.0,7,11.5,0,0.0,0,0.0,22,36.1,0,0.0,0,0.0,32,52.5,0,0.0,203155000.0,111228000.0,2016.0
1ST AVE E 800,1ST AVE E,800,33,33,0,0.0,0,0.0,0,0.0,8,24.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,75.8,0,0.0,85430000.0,56429000.0,2016.0
1ST AVE E 900,1ST AVE E,900,33,33,0,0.0,0,0.0,0,0.0,8,24.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,75.8,0,0.0,86359000.0,56392000.0,2016.0
1ST AVE E 1000,1ST AVE E,1000,29,29,0,0.0,0,0.0,0,0.0,8,27.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,72.4,0,0.0,83691000.0,52851000.0,2016.0
1ST AVE E 1100,1ST AVE E,1100,24,24,0,0.0,0,0.0,0,0.0,3,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,87.5,0,0.0,85484000.0,53658000.0,2016.0
1ST AVE E 1200,1ST AVE E,1200,18,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,100.0,0,0.0,70985000.0,41690000.0,2016.0
1ST AVE E 1300,1ST AVE E,1300,12,12,0,0.0,0,0.0,11,91.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.3,0,0.0,114315000.0,23899700.0,1970.0
1ST AVE E 1400,1ST AVE E,1400,22,22,0,0.0,0,0.0,22,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,136237649.0,30464300.0,1990.0
1ST AVE E 1500,1ST AVE E,1500,35,35,0,0.0,0,0.0,17,48.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,51.4,0,0.0,212564728.0,80391000.0,2014.0
1ST AVE E 1600,1ST AVE E,1600,18,18,0,0.0,0,0.0,3,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,83.3,0,0.0,128996000.0,44803500.0,2016.0
1ST AVE E 1700,1ST AVE E,1700,21,21,0,0.0,15,71.4,15,71.4,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,23.8,0,0.0,217321800.0,61237600.0,1912.0
1ST AVE E 1800,1ST AVE E,1800,22,22,0,0.0,16,72.7,16,72.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,27.3,0,0.0,189828000.0,36442500.0,1922.0
1ST AVE E 1900,1ST AVE E,1900,21,21,0,0.0,21,100.0,21,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,169272735.0,20203200.0,1926.0
1ST AVE E 2000,1ST AVE E,2000,29,29,0,0.0,23,79.3,25,86.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,189971682.0,29480600.0,1927.0
1ST AVE E 2100,1ST AVE E,2100,29,29,0,0.0,29,100.0,29,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,229593894.0,34061100.0,1947.0
1ST AVE E 2200,1ST AVE E,2200,23,23,20,87.0,0,0.0,15,65.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,197945000.0,82141000.0,1961.0
1ST AVE E 2300,1ST AVE E,2300,9,9,8,88.9,0,0.0,8,88.9,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,106120517.0,7423300.0,1929.0
1ST AVE E 2400,1ST AVE E,2400,5,5,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,104442934.0,8128900.0,1944.0
1ST AVE E 2500,1ST AVE E,2500,23,23,23,100.0,0,0.0,23,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,242280092.0,19439100.0,1957.0
1ST AVE E 2600,1ST AVE E,2600,12,12,12,100.0,0,0.0,12,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127911138.0,21592800.0,1965.5
1ST AVE E 2700,1ST AVE E,2700,31,31,31,100.0,0,0.0,31,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,269218402.0,39718700.0,1947.0
1ST AVE E 2800,1ST AVE E,2800,29,29,8,27.6,0,0.0,8,27.6,20,69.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0,497738556.0,51102700.0,2019.0
1ST AVE E 2900,1ST AVE E,2900,25,25,23,92.0,0,0.0,23,92.0,0,0.0,2,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,226478354.0,28675000.0,1969.0
1ST AVE E 3000,1ST AVE E,3000,29,29,29,100.0,0,0.0,29,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,264254302.0,27367100.0,1956.0
1ST AVE E 3100,1ST AVE E,3100,24,24,24,100.0,0,0.0,11,45.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,272000722.0,27405400.0,1966.0
1ST AVE E 3200,1ST AVE E,3200,25,25,24,96.0,0,0.0,8,32.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,255094053.0,24651900.0,1966.0
1ST AVE E 3300,1ST AVE E,3300,11,11,11,100.0,0,0.0,11,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,104236373.0,11118900.0,1974.0
1ST AVE E 3400,1ST AVE E,3400,1,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1143078000.0,457400.0,1991.0
1ST AVE E 3600,1ST AVE E,3600,2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,409352250.0,29428900.0,1968.0
1ST AVE W 0,1ST AVE W,0,45,45,0,0.0,5,11.1,5,11.1,12,26.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,51.1,0,0.0,313327061.0,54069700.0,1995.0
1ST AVE W 100,1ST AVE W,100,85,85,0,0.0,0,0.0,29,34.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,9.4,48,56.5,0,0.0,376110344.0,113190400.0,1995.0
1ST AVE W 200,1ST AVE W,200,152,152,0,0.0,0,0.0,48,31.6,14,9.2,0,0.0,0,0.0,0,0.0,0,0.0,11,7.2,79,52.0,0,0.0,593130087.0,195245200.0,1996.0
