TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,CRIME_CATEGORY
Break and Enter Commercial,2020,1,27,2,41,10XX HOWE ST,Central Business District,490922.922,5458529.9935,Commercial
Break and Enter Commercial,2020,1,26,5,26,10XX HOWE ST,Central Business District,490945.0676,5458552.6272,Commercial
Break and Enter Commercial,2020,8,11,7,0,10XX JERVIS ST,West End,490409.621,5459131.1083,Commercial
Break and Enter Commercial,2020,6,1,17,0,10XX JERVIS ST,West End,490412.2089,5459133.6754,Commercial
Break and Enter Commercial,2020,8,4,21,0,10XX LAGOON DR,Stanley Park,489317.118,5460043.1044,Commercial
Break and Enter Commercial,2020,4,6,20,0,10XX MAIN ST,Strathcona,492743.5459,5458101.4995,Commercial
Break and Enter Commercial,2020,11,3,2,49,10XX MAIN ST,Strathcona,492743.9464,5458116.916,Commercial
Break and Enter Commercial,2020,1,25,5,19,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293,Commercial
Break and Enter Commercial,2020,3,6,1,30,10XX MAINLAND ST,Central Business District,491260.9943,5458119.7955,Commercial
Break and Enter Commercial,2020,1,23,6,50,10XX MAINLAND ST,Central Business District,491265.1417,5458124.097,Commercial
Break and Enter Commercial,2020,10,6,5,12,10XX MAINLAND ST,Central Business District,491275.51,5458134.8506,Commercial
Break and Enter Commercial,2020,10,9,3,0,10XX MAINLAND ST,Central Business District,491322.3733,5458183.4539,Commercial
Break and Enter Commercial,2020,3,19,3,4,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174,Commercial
Break and Enter Commercial,2020,12,16,13,32,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174,Commercial
Break and Enter Commercial,2020,4,7,8,48,10XX MARINASIDE CRES,Central Business District,491400.994,5457872.4225,Commercial
Break and Enter Commercial,2020,10,6,1,5,10XX MARINASIDE CRES,Central Business District,491477.7038,5457857.4994,Commercial
Break and Enter Commercial,2020,9,18,12,30,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.0862,Commercial
Break and Enter Commercial,2020,4,5,21,0,10XX MARINASIDE CRES,Central Business District,491613.9262,5457845.8848,Commercial
Break and Enter Commercial,2020,1,14,8,4,10XX MELVILLE ST,Central Business District,491163.0187,5459274.3069,Commercial
Break and Enter Commercial,2020,7,1,23,41,10XX NELSON ST,West End,490787.3166,5458775.1295,Commercial
Break and Enter Commercial,2020,7,28,23,45,10XX NELSON ST,West End,490787.3166,5458775.1295,Commercial
Break and Enter Commercial,2020,9,18,6,15,10XX PACIFIC ST,West End,490246.7971,5458367.4099,Commercial
Break and Enter Commercial,2020,8,11,3,0,10XX PACIFIC ST,West End,490284.2663,5458343.1703,Commercial
Break and Enter Commercial,2020,7,19,0,0,10XX PARK DR,Marpole,490509.4185,5451309.0269,Commercial
